Region,State,Site Name                                                                ,Site ID,EPA ID,Address,City,Zip,County,FF Ind,NAI,Latitude,Longitude,NPL Status
‭01‬,CT,BARKHAMSTED-NEW HARTFORD LANDFILL,‭0100255‬,CTD980732333,ROUTE 44 ,BARKHAMSTED,06063,LITCHFIELD,N,N,41.893947,-72.989337,10/04/89
‭01‬,CT,BEACON HEIGHTS LANDFILL,‭0100180‬,CTD072122062,BLACKBERRY HILL ROAD ,BEACON FALLS,06403,NEW HAVEN,N,N,41.43195,-73.035281,09/08/83
‭01‬,CT,DURHAM MEADOWS,‭0100108‬,CTD001452093,MAIN ST ,DURHAM,06422,MIDDLESEX,N,N,41.48111,-72.681388,10/04/89
‭01‬,CT,GALLUP'S QUARRY,‭0100201‬,CTD108960972,ROUTE 12 ,PLAINFIELD,06374,WINDHAM,N,N,41.665281,-71.924161,10/04/89
‭01‬,CT,KELLOGG-DEERING WELL FIELD,‭0100252‬,CTD980670814,NORWALK WATER DEPARTMENT ,NORWALK,06856,FAIRFIELD,N,N,41.13055,-73.43195,09/21/84
‭01‬,CT,"LAUREL PARK, INC.",‭0100232‬,CTD980521165,HUNTERS MTN RD ,NAUGATUCK BOROUGH,06770,NEW HAVEN,N,N,41.476939,-73.071661,09/08/83
‭01‬,CT,LINEMASTER SWITCH CORP.,‭0100041‬,CTD001153923,29 PLAINE HILL ROAD ,WOODSTOCK,06281,WINDHAM,N,N,41.940561,-71.966939,02/21/90
‭01‬,CT,NEW LONDON SUBMARINE BASE,‭0100261‬,CTD980906515,ROUTE 12 CRYSTAL LAKE RD ,NEW LONDON,06349,NEW LONDON,Y,N,41.400139,-72.087081,08/30/90
‭01‬,CT,PRECISION PLATING CORP.,‭0100156‬,CTD051316313,1050 HARTFORD TURNPIKE ROAD ,VERNON,06066,TOLLAND,N,N,41.84975,-72.447911,10/04/89
‭01‬,CT,"RAYMARK INDUSTRIES, INC.",‭0100094‬,CTD001186618,75 EAST MAIN STREET ,STRATFORD,06614,FAIRFIELD,N,N,41.201278,-73.117222,04/25/95
‭01‬,CT,SCOVILL INDUSTRIAL LANDFILL,‭0102953‬,CT0002265551,STORE AVENUE ,WATERBURY,06705,NEW HAVEN,N,N,41.550389,-73.010639,07/27/00
‭01‬,CT,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,‭0100124‬,CTD009717604,LAZY LANE ,SOUTHINGTON,06489,HARTFORD,N,N,41.6196,-72.878,09/08/83
‭01‬,CT,YAWORSKI WASTE LAGOON,‭0100125‬,CTD009774969,PACKER ROAD ,CANTERBURY,06331,WINDHAM,N,N,41.66945,-71.964161,09/08/83
‭01‬,MA,ATLAS TACK CORP.,‭0100376‬,MAD001026319,PLEASANT ST ,FAIRHAVEN,02719,BRISTOL,N,N,41.635561,-70.89445,02/21/90
‭01‬,MA,BAIRD & MCGUIRE,‭0100392‬,MAD001041987,775 SOUTH ST ,HOLBROOK,02343,NORFOLK,N,N,42.149719,-71.028611,09/08/83
‭01‬,MA,BJAT LLC,‭0106144‬,MAN000106144,300 FISHER STREET ,FRANKLIN,02038,NORFOLK,N,N,42.074417,-71.410806,09/30/15
‭01‬,MA,BLACKBURN & UNION PRIVILEGES,‭0101713‬,MAD982191363,SOUTH ST. ,WALPOLE,02081,NORFOLK,N,N,42.138749,-71.251667,05/31/94
‭01‬,MA,CHARLES GEORGE RECLAMATION TRUST LANDFILL,‭0100464‬,MAD003809266,CORNER DUNSTABLE & CUMMINGS RD ,TYNGSBOROUGH,01879,MIDDLESEX,N,N,42.66945,-71.443339,09/08/83
‭01‬,MA,CREESE & COOK TANNERY (FORMER),‭0100380‬,MAD001031574,55 CLINTON AVENUE ,DANVERS,01923,ESSEX,N,Y,42.553111,-70.926722,05/24/13
‭01‬,MA,FORT DEVENS,‭0100966‬,MA7210025154,BUENA VISTA ST ,FORT DEVENS,01433,MIDDLESEX,Y,N,42.536111,-71.596111,11/21/89
‭01‬,MA,GROVELAND WELLS,‭0100750‬,MAD980732317,JOHNSON CREEK WATERSHED ,GROVELAND,01834,ESSEX,N,N,42.753331,-71.038889,09/08/83
‭01‬,MA,HANSCOM FIELD/HANSCOM AIR FORCE BASE,‭0100967‬,MA8570024424,HARTWELL AVENUE ,BEDFORD,01730,MIDDLESEX,Y,N,42.470666,-71.289444,05/31/94
‭01‬,MA,HAVERHILL MUNICIPAL LANDFILL,‭0100717‬,MAD980523336,OLD GROVELAND RD ,HAVERHILL,01830,ESSEX,N,N,42.753889,-71.046669,06/10/86
‭01‬,MA,HOCOMONCO POND,‭0100751‬,MAD980732341,FISHER ST ,WESTBOROUGH,01581,WORCESTER,N,N,42.272781,-71.650831,09/08/83
‭01‬,MA,INDUSTRI-PLEX,‭0100580‬,MAD076580950,COMMERCE & ATLANTIC ,WOBURN,01801,MIDDLESEX,N,N,42.516669,-71.141669,09/08/83
‭01‬,MA,IRON HORSE PARK,‭0100524‬,MAD051787323,HIGH ST ,BILLERICA,01862,MIDDLESEX,N,N,42.583331,-71.265269,09/21/84
‭01‬,MA,LOWER NEPONSET RIVER,‭0102204‬,MAN000102204,From the confluence of Mother Brook  to the Walter Baker Chocolate Dam,BOSTON/MILTON,02136,SUFFOLK,N,N,42.25229,-71.1232,03/16/22
‭01‬,MA,MICROFAB INC (FORMER),‭0100442‬,MAD001409408,106 HAVERHILL RD (RTE 110) ,AMESBURY,01913,ESSEX,N,N,42.842394,-70.959842,08/02/17
‭01‬,MA,"NATICK LABORATORY ARMY RESEARCH, DEVELOPMENT, AND ENGINEERING CENTER",‭0101831‬,MA1210020631,100 KANSAS STREET ,NATICK,01760,MIDDLESEX,Y,N,42.288889,-71.363611,05/31/94
‭01‬,MA,NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,‭0102032‬,MA6170023570,165 HARTWELL ROAD ,BEDFORD,01730,MIDDLESEX,Y,N,42.478889,-71.290277,05/31/94
‭01‬,MA,NEW BEDFORD,‭0100743‬,MAD980731335,ACUSHNET ESTUARY ,NEW BEDFORD,02740,BRISTOL,N,Y,41.643171,-70.919887,09/08/83
‭01‬,MA,"NUCLEAR METALS, INC.",‭0100550‬,MAD062166335,2229 MAIN STREET ,CONCORD,01742,MIDDLESEX,N,N,42.441667,-71.421944,06/14/01
‭01‬,MA,NYANZA CHEMICAL WASTE DUMP,‭0100948‬,MAD990685422,MEGUNKO RD ,ASHLAND,01721,MIDDLESEX,N,N,42.258611,-71.473611,09/08/83
‭01‬,MA,OLIN CHEMICAL,‭0100438‬,MAD001403104,51 EAMES ST ,WILMINGTON,01887,MIDDLESEX,N,N,42.528056,-71.153889,04/19/06
‭01‬,MA,OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS,‭0100960‬,MA2570024487,OTIS AFB HERBERT RD ,FALMOUTH,02542,BARNSTABLE,Y,Y,41.651666,-70.521388,11/21/89
‭01‬,MA,PSC RESOURCES,‭0100747‬,MAD980731483,10 WATER ST ,PALMER,01069,HAMPDEN,N,N,42.153331,-72.330281,09/08/83
‭01‬,MA,"RE-SOLVE, INC.",‭0100682‬,MAD980520621,N HIXVILLE RD ,DARTMOUTH,02747,BRISTOL,N,N,41.688061,-71.033889,09/08/83
‭01‬,MA,ROSE DISPOSAL PIT,‭0100721‬,MAD980524169,BALANCE ROCK RD ,LANESBORO,01237,BERKSHIRE,N,N,42.5055,-73.2748,06/10/86
‭01‬,MA,SILRESIM CHEMICAL CORP.,‭0100326‬,MAD000192393,86 TANNER ST ,LOWELL,01853,MIDDLESEX,N,N,42.628889,-71.313889,09/08/83
‭01‬,MA,SOUTH WEYMOUTH NAVAL AIR STATION,‭0101826‬,MA2170022022,1134 MAIN STREET ,WEYMOUTH,02190,NORFOLK,Y,N,42.155277,-70.93347,05/31/94
‭01‬,MA,SULLIVAN'S LEDGE,‭0100744‬,MAD980731343,HATHAWAY RD ,NEW BEDFORD,02740,BRISTOL,N,N,41.654719,-70.957219,09/21/84
‭01‬,MA,SUTTON BROOK DISPOSAL AREA,‭0100686‬,MAD980520696,OFF OF SOUTH STREET ,TEWKSBURY,01876,MIDDLESEX,N,N,42.598222,-71.183194,06/14/01
‭01‬,MA,"W.R. GRACE & CO., INC. (ACTON PLANT)",‭0100350‬,MAD001002252,50 INDEPENDENCE RD ,ACTON,01720,MIDDLESEX,N,N,42.45055,-71.427781,09/08/83
‭01‬,MA,WALTON & LONSBURY INC.,‭0100432‬,MAD001197755,78 NORTH AVENUE ,ATTLEBORO,02703,BRISTOL,N,Y,41.957778,-71.296944,05/24/13
‭01‬,MA,WELLS G&H,‭0100749‬,MAD980732168,ABERJONA RIVER VALLEY ,WOBURN,01801,MIDDLESEX,N,N,42.494719,-71.130839,09/08/83
‭01‬,ME,BRUNSWICK NAVAL AIR STATION,‭0101073‬,ME8170022018,RTE 24 AND 123 ,BRUNSWICK,04011,CUMBERLAND,Y,N,43.90634,-69.933986,07/22/87
‭01‬,ME,CALLAHAN MINING CORP,‭0101028‬,MED980524128,HARBORSIDE ,BROOKSVILLE (CAPE ROSIER),04617,HANCOCK,N,N,44.351639,-68.810139,09/05/02
‭01‬,ME,EASTERN SURPLUS,‭0101054‬,MED981073711,ROUTE 191 ,MEDDYBEMPS,04657,WASHINGTON,N,Y,45.038889,-67.358333,06/17/96
‭01‬,ME,EASTLAND WOOLEN MILL,‭0101043‬,MED980915474,MAIN STREET ,CORINNA,04928,PENOBSCOT,N,Y,44.921667,-69.261111,07/22/99
‭01‬,ME,KEDDY MILL,‭0106078‬,MEN000106078,7 DEPOT STREET ,WINDHAM,04062,CUMBERLAND,N,N,43.734953,-70.424514,05/12/14
‭01‬,ME,LEEDS METAL,‭0103584‬,MEN000103584,OFF OF BLUE ROCK ROAD ,LEEDS,04263,ANDROSCOGGIN,N,N,44.237083,-70.08025,09/18/12
‭01‬,ME,LORING AIR FORCE BASE,‭0101074‬,ME9570024522,42 CSG/CC ,LIMESTONE,04751,AROOSTOOK,Y,Y,46.944444,-67.883888,02/21/90
‭01‬,ME,MCKIN CO.,‭0101027‬,MED980524078,MAYALL RD ,GRAY,04039,CUMBERLAND,N,N,43.8841,-70.2942,09/08/83
‭01‬,ME,PORTSMOUTH NAVAL SHIPYARD,‭0101072‬,ME7170022019,SEAVEY ISLAND ,KITTERY,03904,YORK,Y,N,43.084167,-70.741666,05/31/94
‭01‬,ME,SACO MUNICIPAL LANDFILL,‭0101010‬,MED980504393,FOSS RD ,SACO,04072,YORK,N,N,43.5302,-70.4815,02/21/90
‭01‬,ME,WEST SITE/HOWS CORNERS,‭0101800‬,MED985466168,CAMBELL/SAWYER ROAD ,PLYMOUTH,04969,PENOBSCOT,N,N,44.740278,-69.182222,09/29/95
‭01‬,ME,WINTHROP LANDFILL,‭0101012‬,MED980504435,ANNABESSACOOK RD ,WINTHROP,04364,KENNEBEC,N,N,44.275831,-69.988331,09/08/83
‭01‬,NH,AUBURN ROAD LANDFILL,‭0101137‬,NHD980524086,AUBURN RD ,LONDONDERRY,03053,ROCKINGHAM,N,N,42.9302,-71.3529,09/08/83
‭01‬,NH,BEEDE WASTE OIL,‭0102723‬,NHD018958140,7 THROUGH 11 KELLEY ROAD ,PLAISTOW,03865,ROCKINGHAM,N,N,42.855075,-71.105889,12/23/96
‭01‬,NH,CHLOR-ALKALI FACILITY (FORMER),‭0103313‬,NHN000103313,ADJACENT TO SAW MILL DAM ,BERLIN,03570,COOS,N,N,44.479194,-71.167194,09/14/05
‭01‬,NH,COAKLEY LANDFILL,‭0101107‬,NHD064424153,480 BREAKFAST HILL RD ,NORTH HAMPTON,03840,ROCKINGHAM,N,N,43.001111,-70.817219,06/10/86
‭01‬,NH,COLLINS & AIKMAN PLANT (FORMER),‭0105928‬,NHN000105928,Off Route 11 between Paulson Road to the NW  and Meetinghouse Hill Road to the SE,FARMINGTON,03835,STRAFFORD,N,N,43.372,-71.05875,12/12/13
‭01‬,NH,DOVER MUNICIPAL LANDFILL,‭0101125‬,NHD980520191,TOLEND RD ,DOVER,03820,STRAFFORD,N,N,43.2125,-70.953,09/08/83
‭01‬,NH,FLETCHER'S PAINT WORKS & STORAGE,‭0101085‬,NHD001079649,21 ELM ST. ,MILFORD,03055,HILLSBOROUGH,N,N,42.8358,-71.6554,03/31/89
‭01‬,NH,KEARSARGE METALLURGICAL CORP.,‭0101105‬,NHD062002001,MILL ST-RTE 113 ,CONWAY,03818,CARROLL,N,N,43.9721,-71.1293,09/21/84
‭01‬,NH,KEEFE ENVIRONMENTAL SERVICES (KES),‭0101114‬,NHD092059112,EXETER RD ,EPPING,03042,ROCKINGHAM,N,N,43.024169,-71.033331,09/08/83
‭01‬,NH,MOTTOLO PIG FARM,‭0101123‬,NHD980503361,BLUEBERRY HILL RD ,RAYMOND,03077,ROCKINGHAM,N,N,42.989581,-71.173189,07/22/87
‭01‬,NH,NEW HAMPSHIRE PLATING CO.,‭0101092‬,NHD001091453,WRIGHT AVE. ,MERRIMACK,03054,HILLSBOROUGH,N,N,42.855833,-71.488888,10/14/92
‭01‬,NH,OTTATI & GOSS/KINGSTON STEEL DRUM,‭0101210‬,NHD990717647,HAVERHILL RD RTE 125 ,KINGSTON,03848,ROCKINGHAM,N,N,42.897219,-71.080561,09/08/83
‭01‬,NH,PEASE AIR FORCE BASE,‭0101213‬,NH7570024847,509 CSG/CC ,PORTSMOUTH/NEWINGTON,03803,ROCKINGHAM,Y,N,43.080169,-70.82125,02/21/90
‭01‬,NH,SAVAGE MUNICIPAL WATER SUPPLY,‭0101145‬,NHD980671002,NEAR RT 101 ,MILFORD,03055,HILLSBOROUGH,N,N,42.8418,-71.6884,09/21/84
‭01‬,NH,SOMERSWORTH SANITARY LANDFILL,‭0101128‬,NHD980520225,BLACKWATER RD ,SOMERSWORTH,03878,STRAFFORD,N,N,43.2489,-70.8845,09/08/83
‭01‬,NH,SOUTH MUNICIPAL WATER SUPPLY WELL,‭0101146‬,NHD980671069,RT. 202 ,PETERBOROUGH,03458,HILLSBOROUGH,N,N,42.8489,-71.9468,09/21/84
‭01‬,NH,SYLVESTER,‭0101115‬,NHD099363541,GILSON RD ,NASHUA,03062,HILLSBOROUGH,N,N,42.7197,-71.523111,09/08/83
‭01‬,NH,TIBBETTS ROAD,‭0101208‬,NHD989090469,TIBBETTS RD. ,BARRINGTON,03825,STRAFFORD,N,N,43.18,-71.0347,06/10/86
‭01‬,NH,TINKHAM GARAGE,‭0101106‬,NHD062004569,RTE 102 ,LONDONDERRY,03053,ROCKINGHAM,N,N,42.860831,-71.351111,09/08/83
‭01‬,NH,TROY MILLS LANDFILL,‭0101127‬,NHD980520217,OFF ROCKWOOD POND ROAD ,TROY,03465,CHESHIRE,N,N,42.802583,-72.186944,09/29/03
‭01‬,RI,CENTRAL LANDFILL,‭0101277‬,RID980520183,65 SHUN PIKE ,JOHNSTON,02919,PROVIDENCE,N,N,41.808331,-71.534719,06/10/86
‭01‬,RI,CENTREDALE MANOR RESTORATION PROJECT,‭0101388‬,RID981203755,2072 AND 2074 SMITH STREET (ROUTE 44) ,NORTH PROVIDENCE,02911,PROVIDENCE,N,Y,41.857667,-71.48725,02/04/00
‭01‬,RI,DAVIS LIQUID WASTE,‭0101283‬,RID980523070,TARKILN RD ,SMITHFIELD,02828,PROVIDENCE,N,N,41.922219,-71.577769,09/08/83
‭01‬,RI,DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER,‭0101430‬,RI6170022036,OFF SANFORD RD. ,NORTH KINGSTOWN,02818,WASHINGTON,Y,N,41.6095,-71.47422,11/21/89
‭01‬,RI,"LANDFILL & RESOURCE RECOVERY, INC. (L&RR)",‭0101265‬,RID093212439,OXFORD RD ,NORTH SMITHFIELD,02876,PROVIDENCE,N,N,41.9795,-71.589,09/08/83
‭01‬,RI,NEWPORT NAVAL EDUCATION & TRAINING CENTER,‭0101431‬,RI6170085470,DEFENSE HIGHWAY (BURMA RD.) ,NEWPORT,02871,NEWPORT,Y,Y,41.56445,-71.293469,11/21/89
‭01‬,RI,"PETERSON/PURITAN, INC.",‭0101247‬,RID055176283,MARTIN ST ,LINCOLN/CUMBERLAND,02864,PROVIDENCE,N,N,41.929581,-71.4268,09/08/83
‭01‬,RI,PICILLO FARM,‭0101284‬,RID980579056,PERRY HILL RD ,COVENTRY,02816,KENT,N,N,41.671669,-71.709169,09/08/83
‭01‬,RI,ROSE HILL REGIONAL LANDFILL,‭0101279‬,RID980521025,ROSE HILL RD ,SOUTH KINGSTOWN,02880,WASHINGTON,N,N,41.470831,-71.491669,10/04/89
‭01‬,RI,STAMINA MILLS,‭0101291‬,RID980731442,School Street ,NORTH SMITHFIELD (FORESTDALE),02824,PROVIDENCE,N,N,41.9964,-71.5647,09/08/83
‭01‬,RI,WEST KINGSTON TOWN DUMP/URI DISPOSAL AREA,‭0101322‬,RID981063993,PLAINS ROAD ,SOUTH KINGSTOWN,02881,WASHINGTON,N,N,41.496667,-71.535278,10/14/92
‭01‬,RI,WESTERN SAND & GRAVEL,‭0101233‬,RID009764929,DOUGLAS PIKE ,BURRILLVILLE,02895,PROVIDENCE,N,N,41.9727,-71.595,09/08/83
‭01‬,VT,BENNINGTON MUNICIPAL SANITARY LANDFILL,‭0101493‬,VTD981064223,OFF HOUGHTON LANE ,BENNINGTON,05201,BENNINGTON,N,N,42.922219,-73.197781,03/31/89
‭01‬,VT,BFI SANITARY LANDFILL (ROCKINGHAM),‭0101475‬,VTD980520092,RTE 5 ,ROCKINGHAM,05101,WINDHAM,N,N,43.226389,-72.439719,10/04/89
‭01‬,VT,BURGESS BROTHERS LANDFILL,‭0101450‬,VTD003965415,RTE 9 ,WOODFORD,05201,BENNINGTON,N,N,42.878061,-73.150139,03/31/89
‭01‬,VT,COMMERCE STREET PLUME,‭0101470‬,VTD098352545,96 COMMERCE STREET (FORMLY 15 COMMERCE STREET) ,WILLISTON,05495,CHITTENDEN,N,N,44.452583,-73.121389,04/27/05
‭01‬,VT,ELIZABETH MINE,‭0102071‬,VTD988366621,MINE ROAD ,STRAFFORD,05070,ORANGE,N,Y,43.823889,-72.328889,06/14/01
‭01‬,VT,ELY COPPER MINE,‭0102065‬,VTD988366571,TOWN HIGHWAY 38 ,VERSHIRE,05079,ORANGE,N,N,43.927447,-72.285506,09/13/01
‭01‬,VT,"JARD COMPANY, INC.",‭0102282‬,VTD048141741,259 BOWEN ROAD ,BENNINGTON,05201,BENNINGTON,N,N,42.888861,-73.189111,09/22/14
‭01‬,VT,OLD SPRINGFIELD LANDFILL,‭0101437‬,VTD000860239,WILL DEAN RD ,SPRINGFIELD,05156,WINDSOR,N,N,43.272781,-72.466669,09/08/83
‭01‬,VT,PARKER SANITARY LANDFILL,‭0101491‬,VTD981062441,LILY POND RD. ,LYNDON,05849,CALEDONIA,N,N,44.518611,-71.989439,02/21/90
‭01‬,VT,PIKE HILL COPPER MINE,‭0102121‬,VTD988366720,PIKE HILL ROAD ,CORINTH,05039,ORANGE,N,N,44.057333,-72.306917,07/22/04
‭01‬,VT,PINE STREET CANAL,‭0101479‬,VTD980523062,PINE STREET ,BURLINGTON,05401,CHITTENDEN,N,N,44.466669,-73.218061,09/08/83
‭01‬,VT,POWNAL TANNERY,‭0101463‬,VTD069910354,ROUTE 346 ,POWNAL,05261,BENNINGTON,N,N,42.797167,-73.26575,01/19/99
‭02‬,NJ,A. O. POLYMER,‭0200290‬,NJD030253355,44 STATION ROAD ,SPARTA TOWNSHIP,07871,SUSSEX,N,N,41.04805,-74.63,09/08/83
‭02‬,NJ,AMERICAN CYANAMID CO,‭0200144‬,NJD002173276,EASTON TURNPIKE ,BRIDGEWATER,08805,SOMERSET,N,N,40.555561,-74.55945,09/08/83
‭02‬,NJ,ATLANTIC RESOURCES,‭0201116‬,NJD981558430,120 HORSESHOE ROAD ,SAYREVILLE,08872,MIDDLESEX,N,N,40.486111,-74.319444,09/05/02
‭02‬,NJ,BOG CREEK FARM,‭0200397‬,NJD063157150,SQUANRUM RD. (MONMOUTH CO. RT. 547) ,HOWELL TOWNSHIP,07727,MONMOUTH,N,N,40.150831,-74.161111,09/08/83
‭02‬,NJ,BRICK TOWNSHIP LANDFILL,‭0200540‬,NJD980505176,SALLY IKE ROAD ,BRICK TOWNSHIP,08723,OCEAN,N,N,40.1098,-74.1311,09/08/83
‭02‬,NJ,BRIDGEPORT RENTAL & OIL SERVICES,‭0200364‬,NJD053292652,CEDAR SWAMP RD ,BRIDGEPORT,08014,GLOUCESTER,N,N,39.801669,-75.321661,09/08/83
‭02‬,NJ,BROOK INDUSTRIAL PARK,‭0200450‬,NJD078251675,100 WEST MAIN STREET ,BOUND BROOK,08805,SOMERSET,N,N,40.560139,-74.536111,10/04/89
‭02‬,NJ,BURNT FLY BOG,‭0200528‬,NJD980504997,TYLERS LANE ,MARLBORO TOWNSHIP,07746,MONMOUTH,N,N,40.375,-74.279169,09/08/83
‭02‬,NJ,CALDWELL TRUCKING CO.,‭0200340‬,NJD048798953,222 PASSAIC AVENUE ,FAIRFIELD,07004,ESSEX,N,N,40.876389,-74.271389,09/08/83
‭02‬,NJ,CHEMICAL CONTROL,‭0200037‬,NJD000607481,23 SOUTH FRONT ST ,ELIZABETH,07202,UNION,N,N,40.6432,-74.1935,09/08/83
‭02‬,NJ,CHEMICAL INSECTICIDE CORP.,‭0200517‬,NJD980484653,30 WHITMAN AV ,EDISON TOWNSHIP,08817,MIDDLESEX,N,N,40.5274,-74.368,08/30/90
‭02‬,NJ,"CHEMICAL LEAMAN TANK LINES, INC.",‭0200327‬,NJD047321443,CEDAR SWAMP & COOPER RDS ,BRIDGEPORT,08014,GLOUCESTER,N,N,39.798331,-75.332781,09/21/84
‭02‬,NJ,"CHEMSOL, INC.",‭0200607‬,NJD980528889,FLEMING ST ,PISCATAWAY,08854,MIDDLESEX,N,N,40.5625,-74.443339,09/08/83
‭02‬,NJ,CIBA-GEIGY CORP.,‭0200078‬,NJD001502517,RTE #37 ,TOMS RIVER,08753,OCEAN,N,N,39.9867,-74.2363,09/08/83
‭02‬,NJ,CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION,‭0200995‬,NJD980785638,1017 UNION LANDING ROAD ,CINNAMINSON TOWNSHIP,08077,BURLINGTON,N,N,40.0175,-74.9862,06/10/86
‭02‬,NJ,COMBE FILL SOUTH LANDFILL,‭0200489‬,NJD094966611,PARKER ROAD- BOX 418 ,CHESTER TOWNSHIP,07930,MORRIS,N,N,40.771669,-74.738331,09/08/83
‭02‬,NJ,CORNELL DUBILIER ELECTRONICS INC.,‭0201112‬,NJD981557879,333 HAMILTON BLVD ,SOUTH PLAINFIELD,07080,MIDDLESEX,N,N,40.576389,-74.414167,07/28/98
‭02‬,NJ,COSDEN CHEMICAL COATINGS CORP.,‭0200022‬,NJD000565531,CHERRY STREET ,BEVERLY,08010,BURLINGTON,N,N,40.058183,-74.925899,07/22/87
‭02‬,NJ,CPS/MADISON INDUSTRIES,‭0200109‬,NJD002141190,WATERWORKS ROAD ,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,N,N,40.434439,-74.327769,09/08/83
‭02‬,NJ,"CURCIO SCRAP METAL, INC.",‭0200273‬,NJD011717584,416 LANZA AVE ,SADDLE BROOK TWP,07662,BERGEN,N,N,40.8907,-74.1035,07/22/87
‭02‬,NJ,"CURTIS SPECIALTY PAPERS, INC",‭0203733‬,NJD057143984,404 FRENCHTOWN ROAD ,MILFORD,08848,HUNTERDON,N,N,40.561758,-75.089842,09/23/09
‭02‬,NJ,D'IMPERIO PROPERTY,‭0200639‬,NJD980529416,RTE 322 ,HAMILTON TOWNSHIP,08330,ATLANTIC,N,N,39.454439,-74.658889,09/08/83
‭02‬,NJ,DAYCO CORP./L.E CARPENTER CO.,‭0200136‬,NJD002168748,170 N MAIN STREET ,WHARTON BOROUGH,07885,MORRIS,N,N,40.903331,-74.5775,07/22/87
‭02‬,NJ,DE REWAL CHEMICAL CO.,‭0200792‬,NJD980761373,DELAWARE RIVER DR ,KINGWOOD TOWNSHIP,08825,HUNTERDON,N,N,40.5162,-75.0614,09/21/84
‭02‬,NJ,DIAMOND ALKALI CO.,‭0200613‬,NJD980528996,80 LISTER AVE ,NEWARK,07105,ESSEX,N,N,40.739719,-74.136111,09/21/84
‭02‬,NJ,DIAMOND HEAD OIL REFINERY DIV.,‭0200484‬,NJD092226000,1401 HARRISON TURNPIKE ,KEARNY,07032,HUDSON,N,N,40.747222,-74.132194,09/05/02
‭02‬,NJ,DOVER MUNICIPAL WELL 4,‭0200768‬,NJD980654131,272 ROUTE46 ,DOVER,07801,MORRIS,N,N,40.8858,-74.5423,09/08/83
‭02‬,NJ,ELLIS PROPERTY,‭0200620‬,NJD980529085,SHARP ROAD ,EVESHAM TOWNSHIP,08053,BURLINGTON,N,N,39.905,-74.864719,09/08/83
‭02‬,NJ,EMMELL'S SEPTIC LANDFILL,‭0200986‬,NJD980772727,128 ZURICH AVE ,GALLOWAY TOWNSHIP,08215,ATLANTIC,N,N,39.500694,-74.543611,07/22/99
‭02‬,NJ,EVOR PHILLIPS LEASING,‭0200776‬,NJD980654222,OLD WATER WORKS ROAD ,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,N,N,40.4375,-74.325,09/08/83
‭02‬,NJ,EWAN PROPERTY,‭0200791‬,NJD980761365,WALLINGFORD WAY ,SHAMONG TOWNSHIP,08088,BURLINGTON,N,N,39.802781,-74.719439,09/21/84
‭02‬,NJ,FAIR LAWN WELL FIELD,‭0200765‬,NJD980654107,IND PARK/HENDERSON BLVD 11 ST ,FAIR LAWN,07410,BERGEN,N,N,40.9375,-74.131939,09/08/83
‭02‬,NJ,FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER (USDOT),‭0201178‬,NJ9690510020,ROUTES 563 & 575 ,ATLANTIC COUNTY,08405,ATLANTIC,Y,N,39.458331,-74.583339,08/30/90
‭02‬,NJ,FORMER KIL-TONE COMPANY,‭0200874‬,NJN000200874,527 East Chestnut Avenue ,VINELAND,08360,CUMBERLAND,N,N,39.47841,-75.025489,04/07/16
‭02‬,NJ,FRANKLIN BURN,‭0204087‬,NJD986570992,SIX LOCATIONS NEAR MARSHALL MILL ROAD ,FRANKLIN TOWNSHIP,08322,GLOUCESTER,N,N,39.594444,-75.025,06/17/96
‭02‬,NJ,FRIED INDUSTRIES,‭0200303‬,NJD041828906,11 FRESH POND ROAD ,EAST BRUNSWICK TOWNSHIP,08816,MIDDLESEX,N,N,40.4424,-74.4412,06/10/86
‭02‬,NJ,GARDEN STATE CLEANERS CO.,‭0200362‬,NJD053280160,"SUMMER ROAD, P.O. BOX 183 ",MINOTOLA,08341,ATLANTIC,N,N,39.519031,-74.94945,03/31/89
‭02‬,NJ,GARFIELD GROUND WATER CONTAMINATION,‭0206317‬,NJN000206317,WILLARD STREET AND PIERRE AVENUE ,GARFIELD,07026,BERGEN,N,N,40.871858,-74.106431,09/16/11
‭02‬,NJ,GEMS LANDFILL,‭0200627‬,NJD980529192,ERIAL & HICKSTOWN ROADS ,GLOUCESTER TOWNSHIP,08012,CAMDEN,N,N,39.77945,-75.018889,09/08/83
‭02‬,NJ,GLOBAL SANITARY LANDFILL,‭0200398‬,NJD063160667,ERNSTON ROAD ,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,N,N,40.446389,-74.286111,03/31/89
‭02‬,NJ,GOOSE FARM,‭0200681‬,NJD980530109,RT. 539 BETWEEN RTS 537 & 528 ,PLUMSTEAD TOWNSHIP,08533,OCEAN,N,N,40.09555,-74.4975,09/08/83
‭02‬,NJ,HELEN KRAMER LANDFILL,‭0200552‬,NJD980505366,392 Boody Mill Road ,MANTUA TOWNSHIP,08579,GLOUCESTER,N,N,39.7801,-75.2003,09/08/83
